,Speed: 7,Speed: 14,Speed: 21
570,8838.6,1537.29,805.295
571,8845.64,1539.2,806.394
572,8852.66,1541.11,807.491
573,8859.67,1543.02,808.587
574,8866.65,1544.92,809.683
575,8873.61,1546.83,810.777
576,8880.55,1548.73,811.871
577,8887.47,1550.63,812.963
578,8894.37,1552.53,814.055
579,8901.25,1554.42,815.145
580,8908.11,1556.32,816.235
581,8914.95,1558.21,817.323
582,8921.78,1560.09,818.411
583,8928.58,1561.98,819.498
584,8935.36,1563.86,820.583
585,8942.12,1565.74,821.668
586,8948.86,1567.62,822.752
587,8955.58,1569.5,823.835
588,8962.28,1571.38,824.916
589,8968.96,1573.25,825.997
590,8975.62,1575.12,827.077
591,8982.27,1576.99,828.156
592,8988.89,1578.85,829.234
593,8995.49,1580.72,830.311
594,9002.08,1582.58,831.387
595,9008.64,1584.44,832.462
596,9015.18,1586.29,833.536
597,9021.71,1588.15,834.61
598,9028.22,1590,835.682
599,9034.7,1591.85,836.753
600,9041.17,1593.7,837.823
601,9047.62,1595.54,838.893
602,9054.04,1597.39,839.961
603,9060.45,1599.23,841.028
604,9066.84,1601.07,842.095
605,9073.21,1602.9,843.16
606,9079.57,1604.74,844.225
607,9085.9,1606.57,845.288
608,9092.21,1608.4,846.351
609,9098.51,1610.23,847.413
610,9104.78,1612.05,848.473
611,9111.04,1613.88,849.533
612,9117.27,1615.7,850.592
613,9123.49,1617.52,851.65
614,9129.69,1619.34,852.707
615,9135.87,1621.15,853.763
616,9142.04,1622.96,854.818
617,9148.18,1624.77,855.872
618,9154.3,1626.58,856.925
619,9160.41,1628.39,857.977
620,9166.5,1630.19,859.028
621,9172.56,1631.99,860.079
622,9178.61,1633.79,861.128
623,9184.65,1635.59,862.176
624,9190.66,1637.38,863.224
625,9196.65,1639.18,864.27
626,9202.63,1640.97,865.316
627,9208.59,1642.76,866.361
628,9214.53,1644.54,867.404
629,9220.45,1646.33,868.447
630,9226.35,1648.11,869.489
631,9232.23,1649.89,870.53
632,9238.1,1651.67,871.57
633,9243.95,1653.44,872.609
634,9249.78,1655.22,873.647
635,9255.59,1656.99,874.684
636,9261.38,1658.76,875.72
637,9267.16,1660.52,876.755
638,9272.92,1662.29,877.789
639,9278.66,1664.05,878.823
640,9284.38,1665.81,879.855
641,9290.08,1667.57,880.887
642,9295.77,1669.33,881.917
643,9301.43,1671.08,882.947
644,9307.08,1672.83,883.975
645,9312.72,1674.58,885.003
646,9318.33,1676.33,886.03
647,9323.93,1678.07,887.056
648,9329.51,1679.82,888.081
649,9335.07,1681.56,889.105
650,9340.61,1683.3,890.128
651,9346.14,1685.04,891.15
652,9351.64,1686.77,892.171
653,9357.13,1688.5,893.191
654,9362.61,1690.23,894.211
655,9368.06,1691.96,895.229
656,9373.5,1693.69,896.247
657,9378.92,1695.41,897.263
658,9384.33,1697.14,898.279
659,9389.71,1698.86,899.294
660,9395.08,1700.57,900.308
661,9400.43,1702.29,901.32
662,9405.77,1704,902.332
663,9411.08,1705.72,903.343
664,9416.38,1707.42,904.354
665,9421.67,1709.13,905.363
666,9426.93,1710.84,906.371
667,9432.18,1712.54,907.378
668,9437.41,1714.24,908.385
669,9442.63,1715.94,909.39
670,9447.83,1717.64,910.395
671,9453.01,1719.33,911.399
672,9458.17,1721.03,912.401
673,9463.32,1722.72,913.403
674,9468.45,1724.41,914.404
675,9473.56,1726.09,915.404
676,9478.65,1727.78,916.403
677,9483.73,1729.46,917.401
678,9488.8,1731.14,918.399
679,9493.84,1732.82,919.395
680,9498.87,1734.49,920.391
681,9503.88,1736.17,921.385
682,9508.88,1737.84,922.379
683,9513.86,1739.51,923.371
684,9518.82,1741.18,924.363
685,9523.77,1742.85,925.354
686,9528.7,1744.51,926.344
687,9533.61,1746.17,927.333
688,9538.51,1747.83,928.321
689,9543.39,1749.49,929.308
690,9548.25,1751.14,930.295
691,9553.1,1752.8,931.28
692,9557.93,1754.45,932.265
693,9562.75,1756.1,933.248
694,9567.55,1757.75,934.231
695,9572.33,1759.39,935.213
696,9577.1,1761.04,936.194
697,9581.85,1762.68,937.174
698,9586.58,1764.32,938.153
699,9591.3,1765.95,939.131
700,9596,1767.59,940.108
701,9600.69,1769.22,941.085
702,9605.36,1770.85,942.06
703,9610.01,1772.48,943.035
704,9614.65,1774.11,944.008
705,9619.27,1775.74,944.981
706,9623.88,1777.36,945.953
707,9628.47,1778.98,946.924
708,9633.04,1780.6,947.894
709,9637.6,1782.22,948.863
710,9642.14,1783.83,949.832
711,9646.67,1785.44,950.799
712,9651.18,1787.05,951.766
713,9655.68,1788.66,952.731
714,9660.16,1790.27,953.696
715,9664.62,1791.88,954.66
716,9669.07,1793.48,955.623
717,9673.51,1795.08,956.585
718,9677.92,1796.68,957.546
719,9682.33,1798.28,958.506
720,9686.71,1799.87,959.465
721,9691.08,1801.46,960.424
722,9695.44,1803.06,961.381
723,9699.78,1804.64,962.338
724,9704.11,1806.23,963.294
725,9708.42,1807.82,964.249
726,9712.71,1809.4,965.203
727,9716.99,1810.98,966.156
728,9721.25,1812.56,967.108
729,9725.5,1814.14,968.059
730,9729.74,1815.71,969.01
